brand,name,price,spec_rating,processor,CPU,Ram_type,ROM_type,GPU,display_size,OS,warranty,resolution,storage_gb,ram_gb,brand_encoded,processor_encoded,OS_encoded,Ram_type_encoded,ROM_type_encoded
HP,Victus 15-fb0157AX Gaming Laptop,49900,73.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",DDR4,SSD,4GB AMD Radeon RX 6500M,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,105,12,2,1
HP,15s-fq5007TU Laptop,39900,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,34,12,2,1
Acer,One 14 Z8-415 Laptop,26990,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Iris Xe Graphics,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,1,15,12,2,1
Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,59729,66.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,Intel Integrated Iris Xe,14.0,Windows 11 OS,1,3136000.0,512.0,16.0,14,39,12,8,1
Apple,MacBook Air 2020 MGND3HN Laptop,69990,69.32352941176471,Apple M1,Octa Core (4P + 4E),DDR4,SSD,Apple M1 Integrated Graphics,13.3,Mac OS,1,4096000.0,256.0,8.0,2,160,7,2,1
Acer,Extensa EX214-53 Laptop,39990,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,Intel Iris Xe Graphics,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,1,39,12,2,1
Dell,Inspiron 3520 D560896WIN9B Laptop,36790,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,6,34,12,2,1
Acer,Nitro V ANV15-51 2023 Gaming Laptop,76990,63.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",DDR5,SSD,6GB NVIDIA GeForce RTX 4050,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,1,61,12,4,1
Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,48990,64.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,Intel Iris Xe,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,3,42,12,2,1
Samsung,Galaxy Book2 Pro 13 Laptop,74990,68.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,13.3,Windows 11 OS,1,2073600.0,512.0,16.0,21,39,12,8,1
Lenovo,V15 G3 IAP 82TTA08AIN Laptop,49990,69.32352941176471,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,14,45,12,2,1
Ultimus,Pro NU14U3INC43BN-CS Laptop,10990,69.32352941176471,Intel Celeron  N4020,"Dual Core, 2 Threads",DDR4,SSD,Intel Integrated UHD Graphics,14.1,Windows 11 OS,1,1049088.0,128.0,4.0,23,171,12,2,1
Asus,TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,72990,76.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,3,42,12,2,1
Primebook,4G Android Laptop,10990,69.32352941176471,MediaTek MTK8788,Octa Core,LPDDR4,Hard-Disk,ARM Mali G72,11.6,Android 11 OS,1,1049088.0,64.0,4.0,18,182,0,5,0
Lenovo,V15 G4 ‎82YU00W7IN Laptop,29990,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,126,12,8,1
Asus,TUF Gaming F15 FX506HF-HN024W Gaming Laptop,53649,70.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 2050,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,3,26,12,2,1
MSI,Modern 14 C11M-031IN Laptop,33990,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Integrated UHD,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,15,15,12,2,1
Infinix,Zerobook 2023 Laptop,79990,71.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",LPDDR5X,SSD,Intel Integrated Iris Xe,15.6,Windows 11 OS,1,2073600.0,1024.0,32.0,12,75,12,9,1
